target_chembl_id,pref_name,family,organism,target_type
CHEMBL2069164,Lysine-specific demethylase 6A,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1938211,Lysine-specific demethylase 6B,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2163177,Lysine-specific demethylase 7,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3038496,Lysine-specific demethylase 7A/7B,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL4295672,Lysine-specific demethylase PHF2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL6136,Lysine-specific histone demethylase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4296114,Lysine-specific histone demethylase 1A/REST corepressor,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL1938208,Lysine-specific histone demethylase 1B,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5169167,Lysocardiolipin acyltransferase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3885601,Lysophosphatidic acid receptor 1/3,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL5968,Lysophosphatidic acid receptor 4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5700,Lysophosphatidic acid receptor 5,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2331058,Lysophosphatidic acid receptor 6,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3819,Lysophosphatidic acid receptor Edg-2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3724,Lysophosphatidic acid receptor Edg-4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3250,Lysophosphatidic acid receptor Edg-7,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295903,Lysophosphatidylcholine acyltransferase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2189133,Lysophospholipase-like protein 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2335,Lysosomal Pro-X carboxypeptidase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4184,Lysosomal acid lipase/cholesteryl ester hydrolase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2608,Lysosomal alpha-glucosidase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4059,Lysosomal alpha-mannosidase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4986,Lysosomal phospholipase A2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL6115,Lysosomal protective protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2189137,Lysosomal thioesterase PPT2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2249,Lysyl oxidase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523279,Lysyl oxidase homolog 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3714029,Lysyl oxidase homolog 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105989,Lysyl oxidase homolog 3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295926,Lysyl oxidase homolog 4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5575,Lysyl-tRNA synthetase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4483254,M-HeLa,Unknown,Homo sapiens,CELL-LINE
CHEMBL1741210,M-phase phosphoprotein 8,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1075494,M059J,Unknown,Homo sapiens,CELL-LINE
CHEMBL614317,M14,Unknown,Homo sapiens,CELL-LINE
CHEMBL614019,M19-MEL,Unknown,Homo sapiens,CELL-LINE
CHEMBL614117,M21,Unknown,Homo sapiens,CELL-LINE
CHEMBL4632334,M34,Unknown,Homo sapiens,CELL-LINE
CHEMBL612270,M4Beu cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL614046,M96,Unknown,Homo sapiens,CELL-LINE
CHEMBL4106121,MAC1-CD40L,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL3385,MAP kinase ERK1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4040,MAP kinase ERK2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2094115,MAP kinase p38,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL260,MAP kinase p38 alpha,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3961,MAP kinase p38 beta,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2939,MAP kinase p38 delta,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4674,MAP kinase p38 gamma,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4204,MAP kinase signal-integrating kinase 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2208,MAP kinase-activated protein kinase 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4670,MAP kinase-activated protein kinase 3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3094,MAP kinase-activated protein kinase 5,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3883293,MAP kinase-interacting serine/threonine-protein kinase 1/2,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL4718,MAP kinase-interacting serine/threonine-protein kinase MNK1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3831,MAP/microtubule affinity-regulating kinase 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5754,MAP/microtubule affinity-regulating kinase 4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4888452,MAP2K3/Myc proto-oncogene protein,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4295983,MAPK/MAK/MRK overlapping kinase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523619,MAPK3/MAPK7,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL614653,MAR BEL fibroblasts cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL3038500,MAST1/MAST2,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL612703,MAXF401 cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL1287625,MBT domain-containing protein 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2366274,MC-CAR,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075495,MC-IXC,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366256,MC116,Unknown,Homo sapiens,CELL-LINE
CHEMBL614321,MCF-10A,Unknown,Homo sapiens,CELL-LINE
CHEMBL4296464,MCF-10A-neoT,Unknown,Homo sapiens,CELL-LINE
CHEMBL614322,MCF-12A,Unknown,Homo sapiens,CELL-LINE
CHEMBL613878,MCF10,Unknown,Homo sapiens,CELL-LINE
CHEMBL387,MCF7,Unknown,Homo sapiens,CELL-LINE
CHEMBL614323,MCF7-2A,Unknown,Homo sapiens,CELL-LINE
CHEMBL614325,MCF7-CP,Unknown,Homo sapiens,CELL-LINE
CHEMBL614326,MCF7-DOX,Unknown,Homo sapiens,CELL-LINE
CHEMBL614128,MCF7-VP,Unknown,Homo sapiens,CELL-LINE
CHEMBL4483255,MCF7/PTX,Unknown,Homo sapiens,CELL-LINE
CHEMBL4630717,MCF7:TAM1,Unknown,Homo sapiens,CELL-LINE
CHEMBL614327,MCF7R,Unknown,Homo sapiens,CELL-LINE
CHEMBL614328,MCF7S,Unknown,Homo sapiens,CELL-LINE
CHEMBL614331,MCF9,Unknown,Homo sapiens,CELL-LINE
CHEMBL3885523,MCL1-BAK1 complex,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL4523712,MCL1/Protein cereblon,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL1293243,MCOLN3 protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2366242,MDA-MB-134-VI,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075496,MDA-MB-157,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075497,MDA-MB-175-VII,Unknown,Homo sapiens,CELL-LINE
CHEMBL400,MDA-MB-231,Unknown,Homo sapiens,CELL-LINE
CHEMBL613513,MDA-MB-238,Unknown,Homo sapiens,CELL-LINE
CHEMBL614129,MDA-MB-361,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075498,MDA-MB-415,Unknown,Homo sapiens,CELL-LINE
CHEMBL614697,MDA-MB-435,Unknown,Homo sapiens,CELL-LINE
CHEMBL4483284,MDA-MB-435S,Unknown,Homo sapiens,CELL-LINE
CHEMBL4296465,MDA-MB-436,Unknown,Homo sapiens,CELL-LINE
CHEMBL614334,MDA-MB-453,Unknown,Homo sapiens,CELL-LINE
CHEMBL614335,MDA-MB-468,Unknown,Homo sapiens,CELL-LINE
CHEMBL614078,MDA-N,Unknown,Homo sapiens,CELL-LINE
CHEMBL4483256,MDAH 2774,Unknown,Homo sapiens,CELL-LINE
CHEMBL4106123,MDM2-MDMX,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL3883306,MDM2/MDMX-p53,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL1075499,ME-180,Unknown,Homo sapiens,CELL-LINE
CHEMBL614340,ME67.1,Unknown,Homo sapiens,CELL-LINE
CHEMBL614341,ME67.3,Unknown,Homo sapiens,CELL-LINE
CHEMBL4483257,MEC1,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366084,MEG-01,Unknown,Homo sapiens,CELL-LINE
CHEMBL614732,MEL-AC cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075500,MEL-HO,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075501,MEL-JUSO,Unknown,Homo sapiens,CELL-LINE
CHEMBL3137284,MER intracellular domain/EGFR extracellular domain chimera,Unknown,Homo sapiens,CHIMERIC PROTEIN
CHEMBL614343,MES-SA,Unknown,Homo sapiens,CELL-LINE
CHEMBL613827,MES-SA/Dx5,Unknown,Homo sapiens,CELL-LINE
CHEMBL4106140,METTL3/METTL14,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL614130,MEXF276L,Unknown,Homo sapiens,CELL-LINE
CHEMBL614873,MEXF514,Unknown,Homo sapiens,CELL-LINE
CHEMBL614344,MEXF989,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075502,MFE-280,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075503,MFE-296,Unknown,Homo sapiens,CELL-LINE
CHEMBL614796,MFH-ST,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366262,MFH-ino,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075504,MFM-223,Unknown,Homo sapiens,CELL-LINE
CHEMBL614347,MG-63,Unknown,Homo sapiens,CELL-LINE
CHEMBL3706566,MGC-803,Unknown,Homo sapiens,CELL-LINE
CHEMBL5058621,MHCC97,Unknown,Homo sapiens,CELL-LINE
CHEMBL4296470,MHCC97H,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366286,MHH-CALL-2,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075505,MHH-ES-1,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366185,MHH-NB-11,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366127,MHH-PREB-1,Unknown,Homo sapiens,CELL-LINE
CHEMBL614725,MIA PaCa-2,Unknown,Homo sapiens,CELL-LINE
CHEMBL4105956,MICOS complex subunit MIC10,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105877,MICOS complex subunit MIC19,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105993,MICOS complex subunit MIC25,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105768,MICOS complex subunit MIC60,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2111430,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain),Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL614390,MIP,Unknown,Homo sapiens,CELL-LINE
CHEMBL4523443,MKI67 FHA domain-interacting nucleolar phosphoprotein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614352,MKN-1,Unknown,Homo sapiens,CELL-LINE
CHEMBL614353,MKN-28,Unknown,Homo sapiens,CELL-LINE
CHEMBL614354,MKN-45,Unknown,Homo sapiens,CELL-LINE
CHEMBL614355,MKN-7,Unknown,Homo sapiens,CELL-LINE
CHEMBL614048,MKN-74,Unknown,Homo sapiens,CELL-LINE
CHEMBL614356,ML-2,Unknown,Homo sapiens,CELL-LINE
CHEMBL4106124,MLL1-ASH2L/RbBP5/WDR5/DPY30,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL3137282,MLL1/ASH2L/RBBP5/WDR5 complex,Unknown,Homo sapiens,PROTEIN COMPLEX
CHEMBL2366211,MLMA,Unknown,Homo sapiens,CELL-LINE
CHEMBL4296471,MM1.S,Unknown,Homo sapiens,CELL-LINE
CHEMBL614131,MM418,Unknown,Homo sapiens,CELL-LINE
CHEMBL4296472,MM473,Unknown,Homo sapiens,CELL-LINE
CHEMBL614169,MM6,Unknown,Homo sapiens,CELL-LINE
CHEMBL614170,MM96L,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366196,MMAC-SF,Unknown,Homo sapiens,CELL-LINE
CHEMBL4523984,MMP-1/MMP-2,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL4523970,MMP-2/MMP-13,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL4523971,MMP-2/MMP-14,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL4523972,MMP-2/MMP-9,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL2366070,MN-60,Unknown,Homo sapiens,CELL-LINE
CHEMBL614173,MNNG-HOS,Unknown,Homo sapiens,CELL-LINE
CHEMBL5209890,MNT-1,Unknown,Homo sapiens,CELL-LINE
CHEMBL614174,MO/Mphi,Unknown,Homo sapiens,CELL-LINE
CHEMBL4295878,MOB kinase activator 1B,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1075508,MOG-G-UVW,Unknown,Homo sapiens,CELL-LINE
CHEMBL3706572,MOLM-13,Unknown,Homo sapiens,CELL-LINE
CHEMBL3706570,MOLM-14,Unknown,Homo sapiens,CELL-LINE
CHEMBL5308502,MOLP-8,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366103,MOLT-13,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366362,MOLT-16,Unknown,Homo sapiens,CELL-LINE
CHEMBL614176,MOLT-3,Unknown,Homo sapiens,CELL-LINE
CHEMBL614177,MOLT-4,Unknown,Homo sapiens,CELL-LINE
CHEMBL613515,MOLT-4F,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366062,MONO-MAC-6,Unknown,Homo sapiens,CELL-LINE
CHEMBL614133,MOVP-3,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366357,MPP-89,Unknown,Homo sapiens,CELL-LINE
CHEMBL614180,MR4,Unknown,Homo sapiens,CELL-LINE
CHEMBL4483259,MR49F,Unknown,Homo sapiens,CELL-LINE
CHEMBL614181,MRC5,Unknown,Homo sapiens,CELL-LINE
CHEMBL614182,MRC5CV1,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366325,MRK-nu-1,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366125,MS-1,Unknown,Homo sapiens,CELL-LINE
CHEMBL1075509,MSTO-211H,Unknown,Homo sapiens,CELL-LINE
CHEMBL614184,MT2,Unknown,Homo sapiens,CELL-LINE
CHEMBL388,MT4,Unknown,Homo sapiens,CELL-LINE
CHEMBL4630715,MUGMel1,Unknown,Homo sapiens,CELL-LINE
CHEMBL4630714,MUGMel2,Unknown,Homo sapiens,CELL-LINE
CHEMBL613835,MV4-11,Unknown,Homo sapiens,CELL-LINE
CHEMBL614185,MVLN,Unknown,Homo sapiens,CELL-LINE
CHEMBL613704,MX1,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366204,MZ1-PC,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366226,MZ2-MEL,Unknown,Homo sapiens,CELL-LINE
CHEMBL2366138,MZ7-mel,Unknown,Homo sapiens,CELL-LINE
CHEMBL5314320,Macrophage,Unknown,Homo sapiens,CELL-LINE
CHEMBL613891,Macrophage cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL1844,Macrophage colony stimulating factor receptor,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3989382,Macrophage colony-stimulating factor 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2176854,Macrophage mannose receptor 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2085,Macrophage migration inhibitory factor,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5811,Macrophage scavenger receptor types I and II,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3414409,Macrophage-expressed gene 1 protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2689,Macrophage-stimulating protein receptor,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4296473,Mahlavu,Unknown,Homo sapiens,CELL-LINE
CHEMBL3560,Malate dehydrogenase cytoplasmic,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5917,"Malate dehydrogenase, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614021,Malme-3M,Unknown,Homo sapiens,CELL-LINE
CHEMBL4523315,"Malonate--CoA ligase ACSF3, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4698,Malonyl-CoA decarboxylase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2074,Maltase-glucoamylase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614320,Manca,Unknown,Homo sapiens,CELL-LINE
CHEMBL4295768,Mannan-binding lectin serine protease 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295646,Mannan-binding lectin serine protease 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2758,Mannose-6-phosphate isomerase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1795113,Mannose-binding protein C,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5915,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4684,Mannosyl-oligosaccharide glucosidase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523857,Mas-related G-protein coupled receptor MRG,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523899,Mas-related G-protein coupled receptor member D,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523882,Mas-related G-protein coupled receptor member E,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523903,Mas-related G-protein coupled receptor member F,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523881,Mas-related G-protein coupled receptor member G,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5850,Mas-related G-protein coupled receptor member X1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5849,Mas-related G-protein coupled receptor member X2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523905,Mas-related G-protein coupled receptor member X3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523430,Mas-related G-protein coupled receptor member X4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2645,Mast cell carboxypeptidase A,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4578,Maternal embryonic leucine zipper kinase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3018,Matriptase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2111422,Matrix metalloproteinase (1 and 13),Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL2111321,Matrix metalloproteinase (2 and 3),Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL4270,Matrix metalloproteinase 10,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2867,Matrix metalloproteinase 11,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4393,Matrix metalloproteinase 12,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL280,Matrix metalloproteinase 13,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3869,Matrix metalloproteinase 14,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2963,Matrix metalloproteinase 15,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2200,Matrix metalloproteinase 16,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2937,Matrix metalloproteinase 17,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3885505,Matrix metalloproteinase 2/9,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL4707,Matrix metalloproteinase 26,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL283,Matrix metalloproteinase 3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4073,Matrix metalloproteinase 7,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4588,Matrix metalloproteinase 8,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL321,Matrix metalloproteinase 9,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL332,Matrix metalloproteinase-1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1938214,Matrix metalloproteinase-19,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL333,Matrix metalloproteinase-2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1938226,Matrix metalloproteinase-20,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5050,Matrix metalloproteinase-24,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1795103,Matrix metalloproteinase-25,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4483260,Maver1,Unknown,Homo sapiens,CELL-LINE
CHEMBL2062357,Max-like protein X,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614339,Me665/2/21,Unknown,Homo sapiens,CELL-LINE
CHEMBL613300,MeWo,Unknown,Homo sapiens,CELL-LINE
CHEMBL5169169,Mediator of RNA polymerase II transcription subunit 25,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295713,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3988541,Melanin,Unknown,Homo sapiens,MACROMOLECULE
CHEMBL2111437,Melanin-concentrating hormone receptor,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL344,Melanin-concentrating hormone receptor 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5038,Melanin-concentrating hormone receptor 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4106188,Melanin-concentrating hormone receptor 2/HERG,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL2111423,Melanocortin receptor (M1 and M4),Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL2111323,Melanocortin receptor (M3 and M4),Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL2111397,Melanocortin receptor (M4 and M5),Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL3795,Melanocortin receptor 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1965,Melanocortin receptor 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4644,Melanocortin receptor 3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523974,Melanocortin receptor 3/5,Unknown,Homo sapiens,SELECTIVITY GROUP
CHEMBL259,Melanocortin receptor 4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4608,Melanocortin receptor 5,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5314321,Melanocyte,Unknown,Homo sapiens,CELL-LINE
CHEMBL3712988,Melanocyte protein PMEL,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL614126,Melanoma cell,Unknown,Homo sapiens,CELL-LINE
CHEMBL613892,Melanoma cell line,Unknown,Homo sapiens,CELL-LINE
CHEMBL4662941,Melanoma-associated antigen 3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4296022,Melanoma-associated antigen 4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2094268,Melatonin receptor,Unknown,Homo sapiens,PROTEIN FAMILY
CHEMBL1945,Melatonin receptor 1A,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1946,Melatonin receptor 1B,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3341577,Melatonin-related receptor,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3638356,Membrane metallo-endopeptidase-like 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4523299,Membrane protein MLC1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4295927,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5212,Membrane-associated guanylate kinase-related 3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1764937,Membrane-associated phosphatidylinositol transfer protein 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105706,Membrane-associated progesterone receptor component 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5916,Membrane-bound transcription factor site-1 protease,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL1615381,Menin,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2093861,Menin/Histone-lysine N-methyltransferase MLL,Unknown,Homo sapiens,PROTEIN-PROTEIN INTERACTION
CHEMBL4105775,Meprin A subunit alpha,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4105879,Meprin A subunit beta,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5058627,Mesenchymal stem cells,Unknown,Homo sapiens,CELL-LINE
CHEMBL4523324,Mesoderm-specific transcript homolog protein,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3712878,Mesothelin,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3772,Metabotropic glutamate receptor 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5137,Metabotropic glutamate receptor 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2888,Metabotropic glutamate receptor 3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2736,Metabotropic glutamate receptor 4,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3227,Metabotropic glutamate receptor 5,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4573,Metabotropic glutamate receptor 6,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3777,Metabotropic glutamate receptor 7,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3228,Metabotropic glutamate receptor 8,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3712956,Metalloreductase STEAP1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL5413,Metastin receptor,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2474,Methionine aminopeptidase 1,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3922,Methionine aminopeptidase 2,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2150844,Methionine synthase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL4739700,"Methionine--tRNA ligase, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3509603,"Methionine-R-sulfoxide reductase B2, mitochondrial",Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3509604,Methionine-R-sulfoxide reductase B3,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL2870,Methionyl-tRNA synthetase,Unknown,Homo sapiens,SINGLE PROTEIN
CHEMBL3707462,Methyl-CpG-binding domain protein 2,Unknown,Homo sapiens,SINGLE PROTEIN
